year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
2002,1,group stage,Group G,2,Italy,3,1,1,1,4,3,1,4,1
2002,1,group stage,Group G,3,Croatia,3,1,0,2,2,3,-1,3,0
2002,1,group stage,Group G,4,Ecuador,3,1,0,2,2,4,-2,3,0
2002,1,group stage,Group H,1,Japan,3,2,1,0,5,2,3,7,1
2002,1,group stage,Group H,2,Belgium,3,1,2,0,6,5,1,5,1
2002,1,group stage,Group H,3,Russia,3,1,0,2,4,4,0,3,0
2002,1,group stage,Group H,4,Tunisia,3,0,1,2,1,5,-4,1,0
2006,1,group stage,Group A,1,Germany,3,3,0,0,8,2,6,9,1
2006,1,group stage,Group A,2,Ecuador,3,2,0,1,5,3,2,6,1
2006,1,group stage,Group A,3,Poland,3,1,0,2,2,4,-2,3,0
2006,1,group stage,Group A,4,Costa Rica,3,0,0,3,3,9,-6,0,0
2006,1,group stage,Group B,1,England,3,2,1,0,5,2,3,7,1
2006,1,group stage,Group B,2,Sweden,3,1,2,0,3,2,1,5,1
2006,1,group stage,Group B,3,Paraguay,3,1,0,2,2,2,0,3,0
2006,1,group stage,Group B,4,Trinidad and Tobago,3,0,1,2,0,4,-4,1,0
2006,1,group stage,Group C,1,Argentina,3,2,1,0,8,1,7,7,1
2006,1,group stage,Group C,2,Netherlands,3,2,1,0,3,1,2,7,1
2006,1,group stage,Group C,3,Ivory Coast,3,1,0,2,5,6,-1,3,0
2006,1,group stage,Group C,4,Serbia and Montenegro,3,0,0,3,2,10,-8,0,0
2006,1,group stage,Group D,1,Portugal,3,3,0,0,5,1,4,9,1
2006,1,group stage,Group D,2,Mexico,3,1,1,1,4,3,1,4,1
2006,1,group stage,Group D,3,Angola,3,0,2,1,1,2,-1,2,0
2006,1,group stage,Group D,4,Iran,3,0,1,2,2,6,-4,1,0
2006,1,group stage,Group E,1,Italy,3,2,1,0,5,1,4,7,1
2006,1,group stage,Group E,2,Ghana,3,2,0,1,4,3,1,6,1
2006,1,group stage,Group E,3,Czech Republic,3,1,0,2,3,4,-1,3,0
2006,1,group stage,Group E,4,United States,3,0,1,2,2,6,-4,1,0
2006,1,group stage,Group F,1,Brazil,3,3,0,0,7,1,6,9,1
2006,1,group stage,Group F,2,Australia,3,1,1,1,5,5,0,4,1
2006,1,group stage,Group F,3,Croatia,3,0,2,1,2,3,-1,2,0
2006,1,group stage,Group F,4,Japan,3,0,1,2,2,7,-5,1,0
2006,1,group stage,Group G,1,Switzerland,3,2,1,0,4,0,4,7,1
2006,1,group stage,Group G,2,France,3,1,2,0,3,1,2,5,1
