manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Ottmar Hitzfeld,https://en.wikipedia.org/wiki/Ottmar_Hitzfeld,Ottmar,Hitzfeld,Germany,0
Kasper Hjulmand,https://en.wikipedia.org/wiki/Kasper_Hjulmand,Kasper,Hjulmand,Denmark,0
Glenn Hoddle,https://en.wikipedia.org/wiki/Glenn_Hoddle,Glenn,Hoddle,England,0
Roy Hodgson,https://en.wikipedia.org/wiki/Roy_Hodgson,Roy,Hodgson,England,0
Per-Mathias Høgmo,https://en.wikipedia.org/wiki/Per-Mathias_H%C3%B8gmo,Per-Mathias,Høgmo,Norway,0
Juan Hohberg,https://en.wikipedia.org/wiki/Juan_Hohberg,Juan,Hohberg,Uruguay,0
Hong Myung-bo,https://en.wikipedia.org/wiki/Hong_Myung-bo,Myung-bo,Hong,South Korea,0
Huh Jung-moo,https://en.wikipedia.org/wiki/Huh_Jung-moo,Jung-moo,Huh,South Korea,0
Jørgen Hvidemose,https://en.wikipedia.org/wiki/J%C3%B8rgen_Hvidemose,Jørgen,Hvidemose,Denmark,0
Anghel Iordănescu,https://en.wikipedia.org/wiki/Anghel_Iord%C4%83nescu,Anghel,Iordănescu,Romania,0
Mabo Ismaila,https://en.wikipedia.org/wiki/Mabo_Ismaila,Mabo,Ismaila,Nigeria,0
Branko Ivanković,https://en.wikipedia.org/wiki/Branko_Ivankovi%C4%87,Branko,Ivanković,Croatia,0
Aimé Jacquet,https://en.wikipedia.org/wiki/Aim%C3%A9_Jacquet,Aimé,Jacquet,France,0
Paweł Janas,https://en.wikipedia.org/wiki/Pawe%C5%82_Janas,Paweł,Janas,Poland,0
William Jeffrey,https://en.wikipedia.org/wiki/William_Jeffrey_(American_soccer),William,Jeffrey,United States,0
Emerich Jenei,https://en.wikipedia.org/wiki/Emerich_Jenei,Emerich,Jenei,Romania,0
Jia Xiuquan,https://en.wikipedia.org/wiki/Jia_Xiuquan,Xiuquan,Jia,China,0
Bo Johansson,https://en.wikipedia.org/wiki/Bo_Johansson,Bo,Johansson,Sweden,0
Mirko Jozić,https://en.wikipedia.org/wiki/Mirko_Jozi%C4%87,Mirko,Jozić,Croatia,0
