team_name,player_name,given_name,family_name,player_wikipedia_link
Ecuador,Carina Caicedo,Carina,Caicedo,https://en.wikipedia.org/wiki/Carina_Caicedo
Canada,Carla Chin,Carla,Chin,https://en.wikipedia.org/wiki/Carla_Chin
Chile,Carla Guerrero,Carla,Guerrero,https://en.wikipedia.org/wiki/Carla_Guerrero
United States,Carla Overbeck,Carla,Overbeck,https://en.wikipedia.org/wiki/Carla_Overbeck
United States,Carli Lloyd,Carli,Lloyd,https://en.wikipedia.org/wiki/Carli_Lloyd
England,Carly Telford,Carly,Telford,https://en.wikipedia.org/wiki/Carly_Telford
Canada,Carmelina Moscato,Carmelina,Moscato,https://en.wikipedia.org/wiki/Carmelina_Moscato
Argentina,Carmen Brusca,Carmen,Brusca,https://en.wikipedia.org/wiki/Carmen_Brusca
Colombia,Carmen Rodallega,Carmen,Rodallega,https://en.wikipedia.org/wiki/Carmen_Rodallega
Equatorial Guinea,Carol Carioca,Carol,Carioca,https://en.wikipedia.org/wiki/Carol_Carioca
Costa Rica,Carol Sánchez,Carol,Sánchez,https://en.wikipedia.org/wiki/Carol_S%C3%A1nchez
Sweden,Carola Söberg,Carola,Söberg,https://en.wikipedia.org/wiki/Carola_S%C3%B6berg
Germany,Carolin Simon,Carolin,Simon,https://en.wikipedia.org/wiki/Carolin_Simon
Colombia,Carolina Arbeláez,Carolina,Arbeláez,https://en.wikipedia.org/wiki/Carolina_Arbel%C3%A1ez
Colombia,Carolina Arias,Carolina,Arias,https://en.wikipedia.org/wiki/Carolina_Arias
Italy,Carolina Morace,Carolina,Morace,https://en.wikipedia.org/wiki/Carolina_Morace
Costa Rica,Carolina Venegas,Carolina,Venegas,https://en.wikipedia.org/wiki/Carolina_Venegas
Switzerland,Caroline Abbé,Caroline,Abbé,https://en.wikipedia.org/wiki/Caroline_Abb%C3%A9
Norway,Caroline Graham Hansen,Caroline Graham,Hansen,https://en.wikipedia.org/wiki/Caroline_Graham_Hansen
